# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/annot.gtf" "-o" "counts/counts.txt" "-p" "-B" "-C" "-s" "2" "-T" "4" "alignment/WT_1A.sorted.bam" "alignment/WT_1B.sorted.bam" "alignment/WT_1C.sorted.bam" "alignment/WT_2A.sorted.bam" "alignment/WT_2B.sorted.bam" "alignment/WT_2C.sorted.bam" "alignment/WT_3A.sorted.bam" "alignment/WT_3B.sorted.bam" "alignment/WT_3C.sorted.bam" "alignment/WT_4A.sorted.bam" "alignment/WT_4B.sorted.bam" "alignment/WT_4C.sorted.bam" "alignment/rrp6_1A.sorted.bam" "alignment/rrp6_1B.sorted.bam" "alignment/rrp6_1C.sorted.bam" "alignment/rrp6_2A.sorted.bam" "alignment/rrp6_2B.sorted.bam" "alignment/rrp6_2C.sorted.bam" "alignment/rrp6_3A.sorted.bam" "alignment/rrp6_3B.sorted.bam" "alignment/rrp6_3C.sorted.bam" "alignment/rrp6_4A.sorted.bam" "alignment/rrp6_4B.sorted.bam" "alignment/rrp6_4C.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment/WT_1A.sorted.bam	alignment/WT_1B.sorted.bam	alignment/WT_1C.sorted.bam	alignment/WT_2A.sorted.bam	alignment/WT_2B.sorted.bam	alignment/WT_2C.sorted.bam	alignment/WT_3A.sorted.bam	alignment/WT_3B.sorted.bam	alignment/WT_3C.sorted.bam	alignment/WT_4A.sorted.bam	alignment/WT_4B.sorted.bam	alignment/WT_4C.sorted.bam	alignment/rrp6_1A.sorted.bam	alignment/rrp6_1B.sorted.bam	alignment/rrp6_1C.sorted.bam	alignment/rrp6_2A.sorted.bam	alignment/rrp6_2B.sorted.bam	alignment/rrp6_2C.sorted.bam	alignment/rrp6_3A.sorted.bam	alignment/rrp6_3B.sorted.bam	alignment/rrp6_3C.sorted.bam	alignment/rrp6_4A.sorted.bam	alignment/rrp6_4B.sorted.bam	alignment/rrp6_4C.sorted.bam
YCL005W	III	108021	108791	+	771	392	490	458	367	424	412	463	474	493	550	557	578	327	418	302	353	413	395	399	373	429	486	508	451
snR43	III	107504	107712	-	209	2063	2027	2081	1362	1444	1464	2138	2260	2172	1319	1551	1420	3002	3205	3181	2808	2957	2782	3479	3721	3824	3286	3399	3356
YCR088W	III	265068	266846	+	1779	2356	2560	2647	3447	3650	3900	2341	2693	2768	3774	4002	4120	1281	1466	1421	2118	2405	2580	1408	1447	1448	2281	2353	2366
YCR037C	III	194414	197185	-	2772	1799	1829	2081	1706	1824	1855	1677	1819	1858	2251	2358	2487	1416	1545	1524	1455	1661	1567	1513	1676	1635	1765	1890	1958
YCR077C	III	250238	252628	-	2391	3400	3669	3576	3977	4238	4406	1998	2129	2316	3201	3701	3584	2462	2839	2788	3414	3693	3568	1829	1960	2058	3381	3522	3468
YCR009C	III	130745	131542	-	798	2556	2763	2896	3106	3376	3369	3728	3671	4030	3899	4173	4315	2265	2395	2374	3237	3480	3727	3250	3421	3429	3678	3688	3680
YCR098C	III	297049	298605	-	1557	92	81	69	86	97	105	73	118	138	137	118	119	89	111	112	163	146	168	183	166	147	177	217	229
YCR047W-A	III	211301	211507	+	207	1	0	0	1	0	0	2	1	2	1	3	2	0	0	1	0	2	0	3	2	3	0	2	0
YCR073W-A	III	246963	247910	+	948	350	378	361	545	515	544	560	706	529	763	762	812	333	388	369	598	583	575	512	548	536	677	719	797
YCR039C	III	199546	200178	-	633	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	2	0	0
YCL032W	III	63441	64481	+	1041	423	419	450	559	585	579	602	546	602	696	748	689	368	390	386	554	618	605	468	542	528	601	658	740
YCR049C	III	211871	212317	-	447	2	0	2	0	2	0	0	0	1	4	0	2	3	4	2	5	4	1	0	1	4	0	2	8
YCR076C	III	249293	250045	-	753	275	256	347	300	474	407	372	377	393	431	498	437	193	267	243	293	323	381	317	354	309	374	437	447
YCL057C-A	III	24032	24325	-	294	453	488	462	504	596	604	544	578	501	604	610	663	313	376	421	448	505	526	482	557	565	541	584	602
YCR053W	III	216697	218241	+	1545	7668	8401	8724	9099	9724	9673	7281	7773	8069	8077	8659	8836	5631	6285	6525	6520	7337	7398	5769	6067	6270	7483	8342	8624
YCL008C	III	105696	106853	-	1158	337	374	378	449	443	485	329	339	391	517	470	557	298	318	375	388	416	427	251	338	329	442	517	462
YCR072C	III	240805	242352	-	1548	1381	1596	1650	912	992	1015	756	850	759	866	859	983	1472	1699	1673	848	906	962	786	883	945	856	967	1004
YCR057C	III	220457	223228	-	2772	5574	5621	5826	3709	4234	4257	3098	3280	3387	4013	4252	4290	5020	5432	5582	3354	3657	3821	3237	3315	3459	3975	4250	4219
YCL044C	III	47111	48364	-	1254	184	232	232	252	337	294	211	167	190	220	264	264	155	108	187	175	203	219	156	158	128	197	213	206
YCL033C	III	62776	63282	-	507	395	396	356	484	470	519	528	607	597	745	719	865	257	291	280	446	446	480	480	488	568	543	588	557
YCL030C	III	65934	68333	-	2400	4653	5117	5159	6121	6677	6426	5125	5443	5403	9153	9827	9961	2236	2532	2481	4546	4812	4770	3247	3499	3645	4403	4632	4915
YCL068C	III	11503	12285	-	783	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
YCL035C	III	60841	61173	-	333	1203	1327	1364	1641	1785	1737	2044	2149	2230	2245	2433	2465	1008	1089	1094	1557	1758	1876	1693	1752	1840	1834	2032	1934
YCR008W	III	128470	130281	+	1812	2519	2656	2854	2310	2431	2452	2275	2573	2762	2655	2821	2983	2279	2582	2624	2502	2787	2671	2332	2510	2374	2475	2809	2793
tS(CGA)C	III;III	227942;227998	227978;228042	+;+	82	5	2	0	0	3	2	2	1	0	0	1	3	5	11	10	2	4	8	6	4	3	4	3	9
YCR091W	III	274404	276566	+	2163	309	328	378	763	776	727	743	806	736	1013	1150	1161	259	307	242	778	845	850	789	840	933	954	982	1003
YCR108C	III	315997	316188	-	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR042C	III	201174	205397	-	4224	671	793	756	993	1110	1063	858	815	874	970	954	983	595	722	728	741	688	722	492	530	588	756	820	807
snR65	III	177183	177282	+	100	31	22	31	32	43	34	45	33	35	18	17	18	394	401	414	417	429	413	550	596	566	411	495	480
YCL055W	III	27929	28936	+	1008	858	811	923	687	753	726	727	884	785	840	899	822	641	746	807	704	832	733	784	849	912	893	962	1010
YCR003W	III	118620	119171	+	552	852	1020	1073	792	906	981	1013	998	1104	1171	1343	1298	661	746	751	756	745	751	866	890	914	890	957	933
YCR022C	III	157421	157765	-	345	21	23	39	20	14	8	23	11	19	16	18	21	41	45	30	30	28	18	39	43	32	39	33	19
YCR089W	III	267434	272263	+	4830	408	476	483	543	571	568	351	298	379	335	389	374	332	394	345	298	365	339	177	175	203	257	350	301
tG(GCC)C	III	142701	142771	-	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YCL016C	III	94621	95763	-	1143	426	422	436	370	350	457	377	461	467	527	484	501	311	341	412	332	383	353	416	381	358	340	432	442
YCL031C	III	64675	65568	-	894	3235	3438	3557	2479	2713	2594	2654	2914	2983	3023	3169	3087	2630	2886	3015	2184	2585	2377	2531	2822	2777	2581	2884	2830
YCL048W-A	III	41488	41727	+	240	2	2	2	8	3	2	2	1	7	6	4	1	7	11	7	8	21	13	12	12	15	13	7	12
YCR018C	III	148238	148903	-	666	1052	1203	1215	820	969	900	1029	1020	996	963	1062	1025	1398	1605	1649	1323	1300	1389	1644	1961	1809	1452	1623	1547
YCL022C	III	81570	82085	-	516	0	2	1	0	0	0	0	0	0	0	0	0	9	12	13	2	8	2	6	2	4	9	9	5
YCR087C-A	III	264006	264467	-	462	974	1128	1064	889	859	806	784	916	881	928	972	1018	1019	1054	1211	757	878	904	866	845	880	1031	1078	1114
tT(AGU)C	III	295484	295556	+	73	1	4	1	0	2	4	1	0	3	0	0	2	4	0	3	4	2	2	0	2	3	0	0	0
YCL023C	III	78949	79296	-	348	0	0	0	2	0	1	0	0	3	1	0	0	1	0	1	3	0	2	2	2	0	1	2	4
YCL010C	III	103571	104350	-	780	509	557	536	532	586	656	503	522	565	700	694	692	377	423	385	508	449	510	376	413	421	510	585	567
YCR001W	III	115685	115999	+	315	0	3	0	0	2	0	1	0	0	3	0	0	2	4	7	4	3	1	0	1	1	3	4	1
tM(CAU)C	III	149920	149991	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL018W	III	91324	92418	+	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YCR073C	III	242588	246583	-	3996	1623	1659	1740	1245	1509	1503	1485	1559	1671	2258	2287	2399	1244	1336	1373	1291	1328	1381	1171	1322	1337	1631	1739	1722
YCR048W	III	211929	213761	+	1833	1696	1923	1796	1337	1582	1462	1368	1323	1362	1753	1683	1861	1186	1350	1238	987	1094	1108	940	1112	1030	1127	1191	1112
YCL005W-A	III;III;III	107023;107111;107288	107033;107191;107417	+;+;+	222	1315	1334	1524	1358	1404	1562	1432	1550	1625	1412	1429	1433	1052	963	1128	992	1104	1177	1121	1271	1222	1093	1116	1182
YCR033W	III	186489	190169	+	3681	2808	3104	3167	2853	3092	3153	2609	2686	2752	3164	3448	3478	2212	2544	2583	2325	2809	2736	1913	2149	2125	2483	2870	2651
YCL007C	III	106974	107366	-	393	8	11	12	10	15	11	9	6	10	7	7	13	478	458	566	490	528	509	529	621	571	563	567	575
YCR019W	III	152837	153928	+	1092	262	290	268	314	299	354	300	288	321	404	434	449	231	234	223	314	313	277	262	261	301	301	341	350
YCR102C	III	304361	305467	-	1107	54	52	42	54	84	81	67	76	82	86	106	73	55	29	61	74	89	80	68	86	102	64	71	90
YCR075W-A	III	248975	249202	+	228	171	253	180	185	201	194	246	244	205	226	238	225	146	142	157	188	207	241	231	194	197	163	180	167
YCL058W-A	III	23584	23925	+	342	49	42	61	39	68	55	39	36	41	46	57	51	49	58	65	49	36	42	28	26	49	50	36	46
YCL047C	III	43661	44437	-	777	446	419	427	419	523	550	530	639	594	572	679	636	302	347	376	421	426	421	362	400	478	452	432	481
YCR106W	III	310958	313456	+	2499	674	793	805	605	588	639	562	574	631	822	834	820	615	690	617	630	659	626	574	609	640	574	698	710
YCR040W	III	200442	200969	+	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR061W	III	225563	227458	+	1896	220	259	239	405	445	474	362	355	392	345	429	438	291	271	352	486	531	570	367	349	370	535	550	529
YCR045C	III	208135	209610	-	1476	20	6	10	18	11	11	6	8	16	11	10	13	14	10	4	4	14	11	16	16	18	8	10	9
YCR085W	III	262916	263269	+	354	5	5	7	8	7	9	8	6	6	2	5	6	23	17	28	14	16	26	24	20	14	30	19	14
YCR024C-B	III	162599	162865	-	267	5579	5891	6142	5549	6178	6139	5954	6327	6549	6102	6555	6537	5309	5505	5631	5420	5714	5539	5067	5449	5500	5245	5732	6010
YCR101C	III	302482	303030	-	549	101	103	83	96	103	111	98	123	98	116	133	151	83	72	81	98	87	101	97	81	96	103	119	107
YCL049C	III	39786	40724	-	939	848	905	920	967	946	1143	1308	1315	1438	1599	1670	1695	1275	1522	1544	1875	2134	2157	2307	2660	2696	2332	2489	2532
YCR015C	III	141217	142170	-	954	433	475	452	391	437	437	386	444	437	434	495	553	546	613	600	577	696	721	688	758	780	721	706	736
snR33	III	142364	142546	-	183	2545	3048	2943	1916	2104	2255	2412	2582	2662	2032	2025	2324	5360	5708	5858	5182	5335	5475	6197	6576	6773	6101	6210	6543
YCR038C	III	197621	199549	-	1929	314	310	363	409	432	391	392	416	452	417	498	458	297	306	285	461	478	429	417	414	395	451	496	532
YCL063W	III	17290	18561	+	1272	840	938	979	660	839	735	718	729	802	889	935	986	744	712	764	545	627	643	594	604	518	689	663	781
YCR024C	III	160744	162222	-	1479	291	284	331	268	335	393	369	382	407	440	531	522	205	253	257	256	274	318	236	237	247	327	382	322
YCR065W	III	229310	231004	+	1695	1171	1224	1343	1248	1179	1280	1041	1056	1111	1100	1322	1275	835	828	902	826	878	891	653	769	722	839	814	900
YCR087W	III	263976	264491	+	516	8	5	10	17	10	16	7	9	2	13	8	14	28	27	25	21	37	24	20	28	37	43	44	32
YCR034W	III	190592	191635	+	1044	3518	4013	3817	2958	3249	3112	2977	3144	3285	2867	3031	2880	2754	2842	2833	2362	2596	2545	2349	2504	2607	2638	2708	2845
YCL052C	III	34143	35393	-	1251	1263	1347	1382	1565	1609	1686	1624	1685	1721	1968	2095	2171	1117	1238	1136	1622	1821	1734	1774	1887	1931	1908	2009	2077
YCR004C	III	119575	120318	-	744	1881	2029	2135	2487	2708	2886	3124	3242	3301	3418	3735	3841	1654	1810	1841	2366	2672	2731	2950	3195	3100	3014	3232	3407
YCR059C	III	223454	224230	-	777	665	781	788	632	722	787	677	711	661	757	783	892	509	541	542	554	556	535	557	570	607	630	617	689
tL(CAA)C	III;III	90859;90929	90896;90972	+;+	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR096C	III	293179	293538	-	360	0	0	0	0	0	1	1	0	1	1	3	1	0	0	1	0	1	0	1	2	0	0	0	0
YCR028C-A	III;III	172950;173199	173115;173440	-;-	408	1284	1432	1469	1306	1344	1414	1381	1618	1548	1646	1671	1706	1016	1139	1003	1124	1204	1239	1242	1239	1159	1323	1401	1469
tN(GUU)C	III	127716	127789	+	74	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
YCL021W-A	III	83620	83997	+	378	314	348	301	389	478	416	216	231	278	190	266	292	470	544	542	428	538	444	296	380	363	429	468	489
YCL064C	III	15798	16880	-	1083	2048	2120	2336	2451	2651	2625	2901	3080	2968	3959	4006	4311	1817	2064	2041	2420	2441	2740	1900	2030	2064	2366	2702	2770
YCR028C	III	170886	172424	-	1539	529	553	645	486	573	517	423	552	505	727	785	726	553	623	617	534	601	551	454	526	555	588	572	618
YCR082W	III	258883	259269	+	387	1853	1934	1902	1681	1824	1822	2007	2159	2135	2171	2242	2274	1620	1723	1861	1773	1929	1903	1940	2071	2094	1984	2135	2150
YCL061C	III	18816	22106	-	3291	928	982	1103	1180	1198	1341	988	1025	1219	1174	1192	1269	640	664	693	866	827	862	655	764	703	862	930	1018
YCL073C	III	6479	8326	-	1848	2	0	4	0	0	0	2	2	0	0	8	0	6	0	0	4	0	4	2	2	2	2	0	4
YCR013C	III	138402	139049	-	648	11	2	4	24	15	11	17	10	21	10	13	7	30	22	29	15	8	28	6	11	25	15	13	13
YCR090C	III	272315	272863	-	549	1154	1138	1199	1234	1240	1195	1128	1173	1166	1311	1386	1324	970	1052	1098	1087	1247	1215	1078	1210	1270	1302	1233	1366
YCR084C	III	260311	262452	-	2142	2758	2989	3204	3084	3411	3386	1800	1957	2144	2622	2776	2870	1913	2128	2090	2070	2428	2481	1363	1517	1557	2361	2571	2746
YCR050C	III	213464	213772	-	309	0	4	0	1	0	2	0	0	0	2	0	0	5	3	5	6	6	6	7	4	8	3	6	8
YCR099C	III	300832	301299	-	468	97	66	100	102	111	101	84	129	97	133	111	135	62	67	75	77	109	85	67	89	79	99	106	120
YCL066W	III	13282	13809	+	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
snR189	III	178610	178798	-	189	464	567	535	361	500	479	645	676	673	497	545	492	1452	1572	1799	1618	1742	1767	2082	2266	2217	1954	1947	2058
YCR095C	III	288170	289258	-	1089	830	958	828	632	738	741	818	829	849	837	911	962	759	754	847	741	775	795	853	815	893	739	831	861
YCR068W	III	237214	238776	+	1563	341	395	451	565	555	665	567	519	568	678	778	760	356	329	372	554	663	596	529	522	503	644	697	708
YCL017C	III	92777	94270	-	1494	2415	2650	2597	2438	2693	2778	2409	2579	2561	3208	3461	3519	1732	1901	1932	2008	2189	2162	1981	1972	1955	2157	2373	2368
YCL058C	III	23523	23981	-	459	69	96	106	97	104	113	94	117	103	103	106	111	71	94	107	105	106	101	105	136	134	116	121	130
YCL014W	III	96281	101191	+	4911	1633	1638	1752	1600	1766	1780	1360	1436	1385	1430	1480	1699	1429	1569	1656	1335	1444	1561	1108	1083	1047	1458	1553	1579
YCL050C	III	37836	38801	-	966	3892	4276	4271	4501	4750	4993	4603	4948	5047	4946	5241	5244	3122	3566	3615	4192	4398	4603	3929	4226	4333	4497	4677	5103
YCR067C	III	233125	236322	-	3198	2342	2465	2618	2437	2634	2692	2041	2299	2350	2594	2658	2741	1805	1928	2150	2233	2366	2381	1926	2042	2036	2453	2681	2675
YCR047C	III	210718	211545	-	828	154	136	163	153	132	192	181	165	185	238	257	244	174	194	240	172	174	211	149	99	133	185	192	192
YCR044C	III	206877	207950	-	1074	1242	1330	1304	1186	1184	1174	1329	1451	1550	1530	1595	1726	828	1033	986	961	960	961	1128	1151	1198	1172	1184	1263
YCR026C	III	164111	166339	-	2229	1197	1340	1315	1315	1427	1521	1263	1229	1353	1699	1807	1758	847	909	1001	1007	1043	1161	955	957	981	1151	1237	1288
YCR093W	III	280117	286443	+	6327	5575	5889	6200	6158	6640	6660	4283	4528	4589	5466	5979	5864	4687	5310	5358	5104	5545	5621	3633	3769	3879	5436	5856	5916
YCR012W	III	137746	138996	+	1251	93890	102127	104647	103587	111158	113498	111138	117576	120013	125166	134527	136950	56863	61294	62830	80617	86213	86484	74209	78301	80626	89654	95163	97053
YCR075C	III	248033	248815	-	783	258	289	301	329	284	370	325	386	379	459	449	460	121	169	199	213	242	249	224	204	213	173	230	229
YCL043C	III	48653	50221	-	1569	18981	20599	21092	21869	23341	23584	20107	21524	21275	21639	22796	23449	15153	16256	16287	17464	19296	19591	17065	18284	18617	20177	21202	21637
YCL025C	III	76018	77919	-	1902	805	917	910	1274	1341	1450	1883	1961	1956	1870	1969	1980	684	732	821	1451	1574	1664	1630	1745	1827	1886	2141	2157
YCL067C	III	12386	13018	-	633	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YCR023C	III	158538	160373	-	1836	813	819	801	847	1050	906	953	1058	1065	1121	1297	1271	512	524	554	670	728	815	614	731	718	707	715	765
YCR010C	III	132273	133124	-	852	21	15	4	11	24	18	23	12	12	26	21	35	2	16	9	7	14	2	9	9	6	18	20	11
YCL056C	III	26925	27359	-	435	83	94	96	87	82	62	93	100	138	137	164	144	88	82	112	99	118	102	69	84	69	90	73	77
YCR081W	III	254371	258654	+	4284	1884	2061	2127	1795	1968	1910	1625	1682	1707	2024	2165	2168	1834	1899	1885	1779	1870	2052	1500	1597	1591	1871	1978	2219
YCR018C-A	III	151608	151862	-	255	13	21	14	14	16	10	15	25	27	16	16	20	13	14	21	17	19	22	20	17	22	10	18	28
YCR030C	III	173826	176438	-	2613	666	756	730	963	1061	1094	870	798	848	989	1011	1039	588	626	714	952	1036	1089	694	776	683	948	991	1000
YCL027W	III	71803	73341	+	1539	470	516	476	481	495	541	580	570	520	463	420	532	487	513	492	455	592	484	445	474	506	667	669	701
YCL051W	III	35865	37616	+	1752	1387	1472	1508	1520	1521	1790	1541	1579	1734	2035	2178	2255	988	1142	1183	1543	1676	1734	1475	1721	1708	1673	1945	1825
YCL038C	III	54941	56527	-	1587	566	604	616	500	626	580	793	854	822	1004	1164	1236	664	775	754	765	928	880	1044	1134	1095	976	1081	1185
YCR027C	III	167370	167999	-	630	479	489	618	371	481	475	486	490	465	515	520	539	371	422	438	385	400	462	454	529	531	476	493	548
YCL001W-A	III	113080	113541	+	462	12	34	24	21	16	17	22	35	27	17	30	38	20	17	21	17	22	19	29	17	15	15	14	28
YCR016W	III	143634	144506	+	873	1643	1703	1801	1029	1132	1135	1298	1443	1446	1434	1580	1518	1493	1707	1700	1047	1131	1201	1198	1400	1247	1419	1400	1572
YCL054W	III	31449	33974	+	2526	3902	4371	4392	2515	2744	2762	2454	2857	2682	3237	3648	3661	3943	4567	4366	2547	2941	3015	2457	2668	2594	3001	3118	3302
YCR105W	III	309070	310155	+	1086	24	33	25	21	24	31	31	29	22	30	38	35	19	21	32	33	39	53	27	50	54	34	32	43
YCR024C-A	III	162945	163067	-	123	4550	4840	5149	4140	4585	4570	4845	5043	4978	4985	5027	5295	4218	4517	4406	4279	4490	4710	4233	4404	4480	4313	4587	4648
YCL020W	III	85102	86418	+	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL019W	III	85102	90415	+	5314	17	32	24	15	17	37	11	16	10	36	24	32	16	22	11	26	37	26	25	9	18	29	19	17
RUF22	VI	199299	199813	-	515	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	1	2	0	0	2	0	3
YFL031C-A	VI	76014	76115	-	102	0	1	0	0	2	2	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	1	2
YFL026W	VI	82580	83875	+	1296	13870	15366	15320	10083	11115	11026	10416	11003	11362	11486	12190	12358	12657	13857	14101	9194	10131	10279	10876	11231	11636	11828	12778	13217
YFR027W	VI	207452	208297	+	846	52	53	45	66	92	86	56	86	100	100	146	119	42	24	43	73	63	49	48	66	38	57	40	72
YFR052W	VI	252505	253329	+	825	2387	2712	2795	2694	2879	2883	3207	3382	3566	3414	3877	3958	2251	2391	2431	2766	3030	3063	3205	3261	3346	3190	3370	3468
YFL064C	VI	3322	3846	-	525	18	16	10	30	25	11	15	18	31	12	18	15	6	4	13	7	11	18	6	10	7	14	9	14
YFL015C	VI	106469	106963	-	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	2	0	0
YFL011W	VI	112345	113985	+	1641	12	5	12	56	40	42	50	44	54	105	132	127	19	22	24	9	15	24	12	12	18	27	31	14
YFR017C	VI	182274	182861	-	588	132	152	112	480	461	461	512	556	526	638	800	803	106	105	118	494	531	493	605	608	632	734	698	800
YFL018C	VI	101628	103127	-	1500	4050	4377	4537	5202	5387	5603	4613	5115	5177	5660	6221	6350	2783	3122	3215	4546	4703	5025	4103	4187	4337	4849	5348	5323
YFL032W	VI	74872	75192	+	321	0	4	7	5	7	5	8	9	12	4	2	6	10	11	10	7	15	6	9	8	11	14	24	9
YFR036W	VI	226963	227337	+	375	128	172	171	141	133	169	128	141	134	153	192	182	137	131	180	138	137	121	119	133	108	156	168	163
YFR006W	VI	156145	157752	+	1608	2050	2269	2193	2610	3111	3037	2777	3002	2952	3311	3483	3515	1394	1395	1490	1852	1991	2054	1799	1965	1980	2140	2155	2120
YFR021W	VI	194812	196314	+	1503	697	771	848	854	810	869	696	799	718	857	967	888	643	681	588	682	772	723	577	596	675	726	745	832
tK(CUU)F	VI	226688	226760	-	73	3	3	2	0	4	1	0	3	2	0	3	0	2	1	3	1	1	3	3	0	3	1	3	2
YFL034W	VI	65477	68698	+	3222	1060	1123	1071	1132	1221	1294	1096	1164	1224	1479	1477	1531	755	785	885	948	1041	954	721	881	974	943	1088	1103
YFL012W-A	VI	109810	110184	+	375	0	1	0	0	1	0	0	0	1	0	0	0	1	2	6	2	3	11	7	1	4	2	2	4
YFL024C	VI	87847	90345	-	2499	1286	1461	1412	1159	1189	1219	1247	1375	1341	1544	1546	1600	881	1057	1053	882	975	974	898	948	959	1029	1099	1113
YFL013C	VI	107852	109930	-	2079	949	937	1005	1052	1163	1153	1156	1258	1228	1372	1371	1606	806	866	957	1048	1182	1219	908	983	973	1161	1252	1297
RUF23	VI	221714	221967	+	254	0	0	2	2	0	0	0	7	2	2	0	2	0	0	0	2	0	0	4	1	2	0	3	2
YFL046W	VI	42815	43438	+	624	206	164	209	217	267	217	287	297	270	284	321	277	142	184	220	235	234	213	188	195	216	214	255	254
YFR014C	VI	172537	173877	-	1341	1070	1136	1126	1493	1573	1748	2009	2237	2146	2693	2596	2772	818	942	931	1579	1533	1629	1729	1834	1721	1793	1847	1862
YFL056C	VI	14305	15431	-	1127	411	458	387	445	360	408	354	386	386	422	468	416	411	355	415	403	425	449	496	515	473	435	438	473
YFL041W-A	VI	48734	48925	+	192	32	30	39	36	36	51	37	38	34	62	64	53	25	23	32	44	42	50	45	53	34	25	38	46
YFR055W	VI	264204	265226	+	1023	1621	1791	1725	1322	1352	1408	1285	1367	1412	1215	1233	1235	1456	1635	1597	1504	1614	1660	1234	1177	1251	1473	1707	1637
YFR013W	VI	169922	172285	+	2364	2279	2407	2486	2154	2372	2442	2019	2125	2042	2469	2686	2711	2155	2231	2307	2324	2523	2548	2018	2173	2029	2516	2789	2836
YFR049W	VI	248523	248894	+	372	174	203	215	277	403	320	382	357	345	433	476	477	243	201	210	353	335	372	380	416	356	420	497	435
YFL050C	VI	33272	35848	-	2577	958	942	904	713	816	777	760	844	823	896	989	993	853	808	921	681	667	754	792	853	854	751	909	926
YFR044C	VI	239992	241437	-	1446	8408	8876	9322	8989	9496	9671	7585	7998	8313	9075	9653	9794	6447	6909	7129	7389	8156	8371	6040	6629	6572	8262	8534	8880
YFR032C-B	VI	223710	223973	-	264	33	36	33	36	41	41	35	27	35	31	24	27	32	35	45	41	31	24	40	52	48	31	26	36
YFR034W-A	VI	226022	226309	+	288	62	78	100	78	62	84	72	64	82	115	92	101	97	100	97	133	112	130	109	137	123	119	116	125
tP(UGG)F	VI;VI	101376;101443	101411;101478	+;+	72	7	4	4	2	0	0	10	4	2	4	2	0	4	10	2	2	8	7	0	4	8	2	5	6
YFR009W	VI	162488	164746	+	2259	7087	7563	7725	6347	6740	7074	5438	6047	6006	7193	7821	7971	6975	7204	7609	7102	7339	7637	7357	7318	7809	8022	8949	8849
tA(AGC)F	VI	204924	204996	-	73	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0
YFL045C	VI	43628	44392	-	765	9847	10638	10834	10585	11241	11299	10753	11324	11397	10570	10919	11293	7659	8134	8386	8972	9458	9751	9588	10036	10491	10080	10711	10621
YFL068W	VI	53	535	+	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YFR018C	VI	183131	184222	-	1092	612	672	665	846	835	835	683	727	760	873	966	987	484	514	616	599	647	643	506	609	549	699	757	743
YFR034C	VI	225020	225958	-	939	329	376	369	359	393	381	299	268	254	305	363	354	325	373	344	390	387	361	235	272	274	322	369	329
YFR029W	VI	210937	212973	+	2037	442	481	532	529	570	443	412	422	482	548	589	657	253	272	313	303	392	333	288	249	265	337	360	377
YFL003C	VI	134521	137157	-	2637	92	135	136	95	129	105	113	102	128	126	124	114	75	90	104	115	79	88	122	108	105	88	84	115
YFR041C	VI	237368	238255	-	888	1054	1087	1123	1085	1121	1055	1375	1437	1583	1352	1552	1582	701	792	784	854	955	1014	1034	1041	1099	1033	1094	1066
YFL059W	VI	11363	12259	+	897	40	41	38	54	51	50	46	57	69	74	48	64	35	31	44	43	37	39	42	40	46	44	54	48
YFL062W	VI	6426	7565	+	1140	14	6	13	5	3	5	6	6	8	5	0	9	46	55	52	55	61	43	67	89	65	72	42	52
YFR026C	VI	205748	206257	-	510	26	22	45	36	41	44	49	47	38	46	59	55	27	16	20	31	30	36	37	38	39	32	28	30
YFL014W	VI	107256	107585	+	330	99	105	86	190	152	174	203	230	191	249	222	214	56	85	85	326	376	369	494	592	542	357	408	413
YFL066C	VI	1437	2615	-	1179	8	6	6	9	6	16	0	6	7	3	10	8	2	2	6	8	5	4	8	4	3	1	2	6
YFL047W	VI	40421	42565	+	2145	1100	1170	1222	1144	1141	1227	974	1117	1156	1197	1361	1325	1016	1057	1185	865	949	1094	850	1004	997	1014	1152	1229
